Chip	BrainArrayName	pdName	dbName
gnGNF1Musa	gnGNF1Musa_Mm_ENTREZG	gngnf1musa.mm.entrezg	gngnf1musammentrezg
moex10st	moex10st_Mm_ENTREZG	moex10st.mm.entrezg	moex10stmmentrezg
mogene10st	mogene10st_Mm_ENTREZG	mogene10st.mm.entrezg	mogene10stmmentrezg
mogene11st	mogene11st_Mm_ENTREZG	mogene11st.mm.entrezg	mogene11stmmentrezg
mogene20st	mogene20st_Mm_ENTREZG	mogene20st.mm.entrezg	mogene20stmmentrezg
mogene21st	mogene21st_Mm_ENTREZG	mogene21st.mm.entrezg	mogene21stmmentrezg
mta10	mta10_Mm_ENTREZG	mta10.mm.entrezg	mta10mmentrezg
Rabbit2a520535F	Rabbit2a520535F_Oc_ENTREZG	rabbit2a520535f.oc.entrezg	rabbit2a520535focentrezg
rabgene10st	rabgene10st_Oc_ENTREZG	rabgene10st.oc.entrezg	rabgene10stocentrezg
rabgene11st	rabgene11st_Oc_ENTREZG	rabgene11st.oc.entrezg	rabgene11stocentrezg
Rice	Rice_Os_ENTREZG	rice.os.entrezg	riceosentrezg
ricegene10st	ricegene10st_Os_ENTREZG	ricegene10st.os.entrezg	ricegene10stosentrezg
ricegene11st	ricegene11st_Os_ENTREZG	ricegene11st.os.entrezg	ricegene11stosentrezg
ovigene10st	ovigene10st_Oa_ENTREZG	ovigene10st.oa.entrezg	ovigene10stoaentrezg
ovigene11st	ovigene11st_Oa_ENTREZG	ovigene11st.oa.entrezg	ovigene11stoaentrezg
ClariomDRat	ClariomDRat_Rn_ENTREZG	clariomdrat.rn.entrezg	clariomdratrnentrezg
ClariomSRat	ClariomSRat_Rn_ENTREZG	clariomsrat.rn.entrezg	clariomsratrnentrezg
ClariomSRatHT	ClariomSRatHT_Rn_ENTREZG	clariomsratht.rn.entrezg	clariomsrathtrnentrezg
HTRat230PM	HTRat230PM_Rn_ENTREZG	htrat230pm.rn.entrezg	htrat230pmrnentrezg
HTRatFocus	HTRatFocus_Rn_ENTREZG	htratfocus.rn.entrezg	htratfocusrnentrezg
RAE230A	RAE230A_Rn_ENTREZG	rae230a.rn.entrezg	rae230arnentrezg
RAE230B	RAE230B_Rn_ENTREZG	rae230b.rn.entrezg	rae230brnentrezg
RGU34A	RGU34A_Rn_ENTREZG	rgu34a.rn.entrezg	rgu34arnentrezg
RGU34B	RGU34B_Rn_ENTREZG	rgu34b.rn.entrezg	rgu34brnentrezg
RGU34C	RGU34C_Rn_ENTREZG	rgu34c.rn.entrezg	rgu34crnentrezg
RNU34	RNU34_Rn_ENTREZG	rnu34.rn.entrezg	rnu34rnentrezg
RTU34	RTU34_Rn_ENTREZG	rtu34.rn.entrezg	rtu34rnentrezg
Rat2302	Rat2302_Rn_ENTREZG	rat2302.rn.entrezg	rat2302rnentrezg
RatToxFX	RatToxFX_Rn_ENTREZG	rattoxfx.rn.entrezg	rattoxfxrnentrezg
raex10st	raex10st_Rn_ENTREZG	raex10st.rn.entrezg	raex10strnentrezg
ragene10st	ragene10st_Rn_ENTREZG	ragene10st.rn.entrezg	ragene10strnentrezg
ragene11st	ragene11st_Rn_ENTREZG	ragene11st.rn.entrezg	ragene11strnentrezg
ragene20st	ragene20st_Rn_ENTREZG	ragene20st.rn.entrezg	ragene20strnentrezg
ragene21st	ragene21st_Rn_ENTREZG	ragene21st.rn.entrezg	ragene21strnentrezg
rta10	rta10_Rn_ENTREZG	rta10.rn.entrezg	rta10rnentrezg
YGS98	YGS98_Sc_ENTREZG	ygs98.sc.entrezg	ygs98scentrezg
Yeast2	Yeast2_Sc_ENTREZG	yeast2.sc.entrezg	yeast2scentrezg
Porcine	Porcine_Ss_ENTREZG	porcine.ss.entrezg	porcinessentrezg
SNOWBALLs520824F	SNOWBALLs520824F_Ss_ENTREZG	snowballs520824f.ss.entrezg	snowballs520824fssentrezg
porgene10st	porgene10st_Ss_ENTREZG	porgene10st.ss.entrezg	porgene10stssentrezg
porgene11st	porgene11st_Ss_ENTREZG	porgene11st.ss.entrezg	porgene11stssentrezg
